,credits,catalog_id,prereqs,coreqs,fees,attributes,description,program_code,program_name,YEAR,SEMESTER,term,CatalogYear,Title
10,3 Credits,AC 0345,AC 0343; junior or senior standing.,,,,This course continues the study of taxation begun in ,AC,Accounting,2016.0,Spring,Spring2016,2015_2016,Federal Income Taxation II
11,3 Credits,AC 0400,,,,,"This course examines the basic concepts necessary to understand the information provided by financial and managerial accounting systems. The focus is on interpretation of basic information, as students learn about internal and external financial reporting. Topics include: accrual accounting; revenue and expense recognition; accounting for assets, liabilities, and equities; accumulation and assignment of costs to products and services; and budgeting.",AC,Accounting,2015.0,Fall,Fall2015,2015_2016,Introduction to Accounting
12,3 Credits,AC 0500,AC 0400.,,,,"This course emphasizes the use of accounting information by managers for decision-making. It is designed to provide managers with the skills necessary to interpret analytical information supplied by the financial and managerial accounting systems. Financial accounting concepts based on profit, liquidity, solvency, and capital structure are used in the process of employing management accounting tools to decisions and evaluate organization performance and changes in cost, profit and investment centers.",AC,Accounting,2016.0,Spring,Spring2016,2015_2016,Accounting Information for Decision-Making
13,3 Credits,AC 0510,,,,,"This course brings together technical accounting and reporting concepts and theories with a focus on the financial accounting information that is required to be filed with regulatory agencies, the most predominant being the Securities and Exchange Commission. This course aims to provide an in-depth conceptual understanding of regulatory reporting requirements coupled with an appreciation of how these regulations affect the quality of information in publicly available corporate reports. Students will enhance their ability to analyze and understand unique and complex future accounting issues and possible solutions. The course is taught seminar style with students leading the discussions of cases and research.",AC,Accounting,2016.0,Summer,Summer2016,2015_2016,Issues in a Regulatory Reporting Environment
14,3 Credits,AC 0530,,,,,This course examines the generally accepted accounting principles applicable to governmental entities (as issued by GASB) as well as accounting principles applicable to not-for-profit entities (as issued by FASB). The focus will be on the financial statements and reports prepared by state and local governments and financial reporting for the wide array of not-for-profit entities with an emphasis on the contrast of these entities with for-profit accounting.,AC,Accounting,2016.0,Summer,Summer2016,2015_2016,"Accounting for Governments, Hospitals, and Universities"
15,3 Credits,AC 0550,,,,,"This course analyzes the methods used to capture, process, and communicate accounting information in a modern business enterprise. Students learn to document business transaction cycles, identify weaknesses, and recommend internal control improvements. They may design and build a module of an accounting information system using appropriate database technology.",AC,Accounting,2016.0,Spring,Spring2016,2015_2016,Accounting Information Systems and Technology
16,3 Credits,AC 0555,,,,,"This course covers internal audit from a broad perspective. Course topics cover three main areas, internal audit: (1) basics, (2) risks, and (3) metrics. During the course, students will develop critical thinking skills (particularly employing professional skepticism) and learn to effectively communicate their professional opinions.",AC,Accounting,2016.0,Spring,Spring2016,2015_2016,Issues in Internal Audit
17,3 Credits,AC 0560,,,,,"This course will expose students to the global profession of auditing, with a primary focus on public company auditors. Topics will vary any given semester, but may include the following: the different international organizations that set auditing standards and enforce auditing standards; the impact of culture on auditing standards and practices throughout the world; the impact of International Financial Reporting Standards on international and U.S. auditing rules; the evaluation of audit evidence; auditor independence; materiality; internal controls; computer assisted audit tools and techniques; fraud detection and forensic accounting. The course is taught seminar style, with students leading the discussions of cases and current articles. Assignments are designed to develop students' written and oral communication skills, analytical skills, and critical thinking skills.",AC,Accounting,2016.0,Spring,Spring2016,2015_2016,Audit Issues in a Global Environment
18,3 Credits,AC 0570,,,,,"This course investigates ethical problems in contemporary accounting practice. The goal is to increase students' ethical perception so they are better able to identify, consider, and ultimately act on the ethical issues they may face in their professional accounting career, regardless of specialty area (e.g., audit, tax, and corporate accounting). The course is taught seminar style, with students leading the discussions of cases and current articles. Assignments are designed to develop students' written and oral communication skills, analytical skills, and critical thinking skills.",AC,Accounting,2015.0,Fall,Fall2015,2015_2016,Issues in Accounting Ethics
19,3 Credits,AC 0580,,,,,"The course is designed to increase and extend the knowledge of the student in financial statement information and topics introduced in undergraduate courses in intermediate and advanced financial accounting through lecture, problem solving and case analysis. A critical examination of both objective and subjective aspects of financial reporting will be undertaken with both quantitative as well as qualitative assessments of financial information emphasized.",AC,Accounting,2016.0,Summer,Summer2016,2015_2016,Financial Statement Analysis
20,3 Credits,AC 0590,,,,,"This course is a designated research course. In it students will investigate, analyze, develop, and present recommendations for emerging issues, recent pronouncements of accounting rule-making bodies and/or unresolved controversies relating to contemporary financial reporting. In doing so, students will consider institutional, historical, and international perspectives. In their research, students are expected to use authoritative resources (e.g., FASB and/or IASB pronouncements). The course is taught seminar style, with students leading the discussions of cases and current articles. Assignments are designed to develop students' written and oral communication skills, analytical skills, and critical thinking skills.",AC,Accounting,2015.0,Fall,Fall2015,2015_2016,Research on Contemporary Issues in Accounting
21,3 Credits,AE 0262,One course in Philosophy or Religious Studies.,,,PJST Peace and Justice Studies,"This course surveys the philosophical grounding of the organizations in contemporary society, examining structured human groups from the household, through the village (or religious/ethnic association), to the nation-state to understand their moral undertakings in their environment; to consider how they implement and balance rights and duties, rules and compassion, autonomy and common purposes. This course gives special attention to structural injustice in the treatment of those marginalized by gender, race, or socioeconomic deficit, and includes an effort to determine where new understanding may yield suggestions for structural modification. Students are provided the opportunity to research and present projects on contemporary social problems that illustrate the themes of the course.",AE,Applied Ethics,2015.0,Fall,Fall2015,2015_2016,Ethics and the Community
22,3 Credits,AE 0265,One course in Philosophy or Religious Studies.,,,"EDCG Educational Studies Cognate, EDDV Educational Studies Diversity","This survey of the ethical issues that arise in the classroom, school, and school district also covers those issues, to a lesser extent, in the educational policies of the state and federal government. The course directly addresses issues of race, class, and gender in the educational system, addressing entitlement to education, access to education, discipline in the educational setting, multicultural issues in general, politics, accountability, assessment, and the ethics of respect as they pertain to teachers, students, and administrators.",AE,Applied Ethics,2015.0,Fall,Fall2015,2015_2016,Ethics in Education
23,3 Credits,AE 0276,One course in Philosophy or Religious Studies.,,,"HACA Humanitarian Action Minor Context Course, WDIV World Diversity","A survey of the ethical dimensions of contemporary business practice generally, with special emphasis on the ethical implications of global business enterprise. Topics include global employment practices, human and employee rights in a global economy, the implications of external debt for the economies of developing nations, the human costs and benefits of the changes in global agriculture and food provision generally, and the work of international agencies (the World Trade Organization, the International Monetary Fund, and the World Bank in particular) in guiding the economies of the world. A three-week unit will focus on the economic implications of natural and man made disasters and humanitarian crises.",AE,Applied Ethics,2015.0,Fall,Fall2015,2015_2016,Ethical Dimensions of Global Business Practices
24,3 Credits,AE 0281,One course in Philosophy or Religious Studies.,,,ENEC Digital Journalism Ethics Component,"This course examines the moral dilemmas of media management, political propaganda, campaign promo-tions, public relations, and corporate communication. Topics include advertising and marketing practices, especially political advocacy and messages targeted to various audiences; truth and loyalty in public relations practices; the philosophical and constitutional bases of freedom of the press; and problems of media bias, systematic and otherwise.",AE,Applied Ethics,2015.0,Fall,Fall2015,2015_2016,Ethics of Communications
25,3 Credits,AE 0284,One course in Philosophy or Religious Studies.,,,"EVHU Environmental Studies: Humanities, EVPE Environmental Studies Elective, PJST Peace and Justice Studies","Students examine the environmental problems that arise in our attempts to reconcile the demands of human fulfillment and economic activity, and the requirements of ecological balance. Issues include the diverse perspectives of conservation, preservation, and deep ecology. Student projects cover the wise use of resources; pollution of land, air, and water; conservation of species and open space; global climatic change; and the future stewardship of oceans, forests, and the atmosphere.",AE,Applied Ethics,2015.0,Fall,Fall2015,2015_2016,Environmental Ethics
26,3 Credits,AE 0285,One course in Philosophy or Religious Studies.,,,"HSTE Health Studies: Traditions, Delivery, and Ethics","This course considers the moral dilemmas of the healthcare setting. Topics include patients' rights (medical paternalism and patient autonomy, informed consent to therapy, and participation in research); dilemmas of reproduction (technological assistance, abortion, cloning); dilemmas of life and death (assisted suicide, euthanasia, technological interventions for the dying); allocation of healthcare resources; and the special dilemmas of healthcare professionals caught in binds between HMO contracts and professional obligations.",AE,Applied Ethics,2016.0,Spring,Spring2016,2015_2016,Ethics of Health Care
27,3 Credits,AE 0287,One course in Philosophy or Religious Studies.,,,,"This course systematically explores the ethical dimensions of situations and tasks common to engineering practice. Issues include professionalism, codes of ethics, consumer risk and safety, employee loyalty and whistle-blowing, research and ownership of information, and the engineer's responsibility to the natural environment.",AE,Applied Ethics,2016.0,Spring,Spring2016,2015_2016,Engineering Ethics
28,3 Credits,AE 0291,One course in Philosophy or Religious Studies.,,,,"This course investigates ethical problems in business practice. Topics include the foundation of the free-market system, personal morality in profit-oriented enterprises; codes of ethics, obligations to employees and other stakeholders; truth in advertising, whistle-blowing, and company loyalty; self and government regulation; the logic and future of capitalism; and the changing responsibilities of the manager in a rapidly globalizing business environment.",AE,Applied Ethics,2016.0,Spring,Spring2016,2015_2016,Business Ethics
29,3 Credits,AE 0293,One course in Philosophy or Religious Studies.,,,PJST Peace and Justice Studies,"This is a survey of issues relating to war and international conflict. Topics include Just War theory, human rights issues, the impact of war on women, the role of the United Nations Security Council, and the history of global attempts to proscribe and prevent aggression. The course also looks at related issues that have emerged in recent years, such as humanitarian intervention and economic sanctions.",AE,Applied Ethics,2016.0,Summer,Summer2016,2015_2016,Ethics of War and Peace
30,3 Credits,AE 0391,Two courses in Philosophy or Religious Studies.,,,,"This seminar investigates ethical dilemmas of business management, primarily as encountered in real cases. Themes vary from year to year. Format: guest presentations by members of the business community, followed by discussion.",AE,Applied Ethics,2016.0,Spring,Spring2016,2015_2016,"Seminar in Business Law, Regulation, and Ethics"
31,3 Credits,AH 0010,,,,"GDAH Graphic Design: Art History, VPCH Visual and Performing Arts Core: History Course","From the mysterious depths of Paleolithic cave painting to the soaring heights of Gothic cathedral vaulting, this course surveys the early history of Western art. The course begin with the origins of art-making in prehistoric, Mesopotamian, Egyptian, Greek, and Roman cultures before viewing the transformations of these ancient arts traditions in early Christian and medieval societies. The course offers students a working vocabulary with which to compose visual analyses of works of art and evaluate them in a social and historical context. One class takes place at the Metropolitan Museum of Art in New York City.",AH,Art History,2015.0,Fall,Fall2015,2015_2016,Origins and Transformations in Western Art
32,3 Credits,AH 0011,,,,"GDAH Graphic Design: Art History, VPCH Visual and Performing Arts Core: History Course","This course surveys the history of painting, sculpture, and architecture from the 15th century to today, in Europe and the United States, including a review of classical and medieval antecedents. A central focus of this class is the study of the original contexts of works of art; most of the art we will study this semester was not made to be looked at in a museum or gallery. By seeking the original context of a work of art, one can begin to understand why, how, by, and for whom art was created and how it fits into the larger picture of human creativity. Students will visit the Metropolitan Museum of Art in New York City.",AH,Art History,2016.0,Spring,Spring2016,2015_2016,Visual Culture Since 1400: Expression and Experimentation
33,3 Credits,AH 0013,,,,"BSCC Black Studies Component Course, GDAH Graphic Design: Art History, LCEL LACS Minor: Elective, VPCH Visual and Performing Arts Core: History Course, WDIV World Diversity","This course is an introduction to art and architecture of Africa, the Caribbean islands, and Central America, South America and North America. Major works of art and architecture will be examined to understand the respective cultures and traditions of these regions. Cultures designated by their geographical locations will provide a frame of study for African visual culture. Art of Caribbean islands and the influence of the African diaspora will be explored. The Americas will be represented by Pre-Columbian and Native American visual arts. Students will be introduced to different art historical approaches and vocabulary used to study art from each of these areas.",AH,Art History,2015.0,Fall,Fall2015,2015_2016,"Art of Africa, the Caribbean, and the Americas"
34,3 Credits,AH 0014,,,,"GDAH Graphic Design: Art History, VPCH Visual and Performing Arts Core: History Course, WDIV World Diversity","This course introduces major monuments of the arts of Asia, including architecture, painting, sculpture, ceramics, and prints. Following a roughly chronological progression spanning over three millennia, the course emphasizes contact between Asian civilizations, including South, Southeast, Central, and East Asia, as well as artistic exchanges between Asia and the West. Foci include: ancient funerary arts, the development of Buddhist art throughout the continent, and secular arts associated with imperial courts and the rise of cities. The course highlights collections of Asian art at the Bellarmine Museum, Yale University, and in New York City.",AH,Art History,2015.0,Fall,Fall2015,2015_2016,Art of Asia
35,3 Credits,AH 0111,,,,"GDAH Graphic Design: Art History, VPCH Visual and Performing Arts Core: History Course","This survey covers the major developments in architecture, sculpture, and painting from the time of Homer to the collapse of the Hellenistic world. The course considers the formation of the Pan-Hellenic sanctuaries of Olympia and Delphi in the geometric and archaic periods and the rise of democracy under the leadership of Pericles in Athens, culminating in the Parthenon of the high classical period and the creation of an empire under Alexander the Great. Students explore the legacy of Greek achievement in the context of its impact on the Roman world and later art. The course emphasizes objects in area museums and includes field trips.",AH,Art History,2016.0,Spring,Spring2016,2015_2016,Greek Art and Archaeology
36,3 Credits,AH 0112,,,,"GDAH Graphic Design: Art History, ISIF Italian Studies: Italy-Focused, VPCH Visual and Performing Arts Core: History Course","In this course we will examine art of the Roman Republic and empire, beginning with an introduction to Etruscan Italy before Roman conquest. The major themes of the course are: society as reflected in portraiture; religion as communicated in temple and domestic architecture and decoration; the organization and architecture of urban spaces; the architecture and decoration of houses. These themes will also be related to the art of other places and times, including that of the ancient Greeks and our own society. The course emphasizes objects in area museums and includes trips to world-class museums in our region.",AH,Art History,2015.0,Fall,Fall2015,2015_2016,Etruscan and Roman Art and Archaeology
37,3 Credits,AH 0113,,,,"GDAH Graphic Design: Art History, VPCH Visual and Performing Arts Core: History Course, WDIV World Diversity","In this course, students will examine the art of ancient Egypt, from the unification of the pre-historic cultures of the Nile Valley to the Roman conquest. We focus on thematic examinations of various aspects of ancient Egyptian culture, as illustrated through the art, monuments, artifacts, and anthropological evidence that remains in the archaeological record today. Throughout the course, students will analyze and discuss the influence of scholarly biases and issues in cultural heritage management, and museum collecting ethics. By examining the life cycles of these works, from first creation to modern reinterpretation, students will understand that these works not only reflect a society as complex as our own but also serve an important role in contemporary culture. Students will visit the Metropolitan Museum of Art.",AH,Art History,2016.0,Spring,Spring2016,2015_2016,Art and Archaeology of Ancient Egypt: Images for Eternity
38,3 Credits,AH 0130,,,,"CAOT Catholic Studies: Non-Religious Studies, GDAH Graphic Design: Art History, ISIF Italian Studies: Italy-Focused, VPCH Visual and Performing Arts Core: History Course","In this panoramic overview of Italian art, culture, and society between 1300 and 1520, we explore the city of Florence as the ""cradle of a new world."" From its art workshops and urban planning studios, the monumental Duomo of Brunelleschi rises to symbolize a new era for human creativity. Viewing masterpiece artworks, we discover the exciting shift from medieval formalism to a new aristocratic elegance, opulence, and classical humanism. In this interdisciplinary humanities course, we contrast and compare aspects of Florentine culture as symbolized and visualized in the arts. Artworks depict banking, science, engineering, diplomacy, women's traditional roles of domesticity in the court, and a new appreciation for clothing fashions. Course includes visits to world-renowned area museums allowing students to study first-hand prime examples of Florentine art. No prerequisite beyond a curiosity to learn how Renaissance art of the past enriches our lives in the present.",AH,Art History,2015.0,Fall,Fall2015,2015_2016,Early Renaissance Art in Italy
39,3 Credits,AH 0164,,,,"ASGW American Studies: Gateway, ASVP American Studies: Visual and Performing Arts, GDAH Graphic Design: Art History, VPCH Visual and Performing Arts Core: History Course","In tracing the themes and artistic statements of American artists, the course takes special notice of unifying national myths such as theFounding Fathers, Manifest Destiny, America as the new Eden, the frontier from the Rockies to the lunar surface, heroes from Davy Crockett to Superman, and America as utopia. Through the masterpieces of Church, Cole, Homer, Eakins, Sloan, Hopper, Pollock, Rothko, Wyeth, Warhol, and the Downtown art scene, the course answers the question: What is uniquely American about American art?",AH,Art History,2016.0,Summer,Summer2016,2015_2016,American Art and Media Culture: Homer to Hunger Games
40,3 Credits,AH 0165,,,,"ASGW American Studies: Gateway, ASVP American Studies: Visual and Performing Arts, BSAH Black Studies: Arts and Humanities, BSFC Black Studies Focus Course, GDAH Graphic Design: Art History, UDIV U.S. Diversity, VPCH Visual and Performing Arts Core: History Course","This course explores black art and culture in the twentieth century. We will focus on the artworks themselves and, when possible, the artist's dialogue. Events in United States history such as the emancipation from slavery and the Civil War Era, the Harlem Renaissance, Jazz Age, Great Depression, Civil Rights Movements, AIDS crisis of the 80's, and the Los Angeles race riots of the 90's are used as context to understand black art and culture. While art works created by African-American artists are the primary focus, Cuban and Haitian art and artists are also considered. Throughout the course there is a focus on thinking critically when looking at art as well as how to articulate ideas in writing.",AH,Art History,2016.0,Spring,Spring2016,2015_2016,The Black Experience: African-American Art and Criticism in the 20th Century
41,3 Credits,AH 0172,,,,"GDAH Graphic Design: Art History, VPCH Visual and Performing Arts Core: History Course","Students will learn the general historical development of photography from the 1830s to the present day. Concentrating primarily on Europe and the United States, this survey examines some of the themes threaded throughout photography's short history: the interrelationships between photography and other arts, the effect of technology on the medium, identity construction by and through photographs, and the tradition of the popular photograph. Social, cultural, and economic issues are considered as well as important photographers and photographic movements. Throughout the course there is a focus on thinking critically when looking at a photograph as well as how to articulate ideas in writing.",AH,Art History,2015.0,Fall,Fall2015,2015_2016,History of Photography
42,3 Credits,AH 0330,,,,VPCH Visual and Performing Arts Core: History Course,"Required of all art history majors in the spring semester of the senior year, this seminar offers rotating topics that reflect the areas of expertise and research among Fairfield's art history faculty members and culminates in an in-depth research project.",AH,Art History,2016.0,Spring,Spring2016,2015_2016,Senior Capstone Seminar
43,3 Credits,AH 0330A,,,,VPCH Visual and Performing Arts Core: History Course,See ,AH,Art History,2016.0,Spring,Spring2016,2015_2016,Senior Capstone Seminar
44,3 Credits,AR 0110,,,,,"The first course, the first of a two-semester sequence, teaches the essentials of phonology, script, structure, and usage, allowing students to acquire the skills of listening, speaking, reading, and writing in the standard means of communicating in the Arab world. Teaching is proficiency-based, implying that all activities within the courses are aimed at placing student learners in the context of the native-speaking environment.",AR,Arabic,2015.0,Fall,Fall2015,2015_2016,Elementary Modern Standard Arabic I
45,3 Credits,AR 0111,AR 0110.,,,,A continuation of ,AR,Arabic,2016.0,Spring,Spring2016,2015_2016,Elementary Modern Standard Arabic II
46,3 Credits,AR 0210,AR 0111.,,,,"This course, the first in a two-semester sequence, continues to build upon the skills acquired in the first-year course. Emphasis will be placed upon improving grammar, listening comprehension, and speaking and reading skills. Students will gain confidence in conversing with native speakers on a variety of topics, will be able to write more complex texts on everyday themes, and will acquire the skills to read uncomplicated authentic texts, such as newspaper articles on familiar topics.",AR,Arabic,2015.0,Fall,Fall2015,2015_2016,Intermediate Modern Standard Arabic I
47,3 Credits,AR 0211,AR 0210.,,,,A continuation of ,AR,Arabic,2016.0,Spring,Spring2016,2015_2016,Intermediate Modern Standard Arabic II
48,3 Credits,AR 0381,,,,,"Students undertake readings and studies in a specialized area of Arabic language and culture, under the direction of a staff member. Designed to fill the special needs of specific students, this course is offered at the discretion of the department chair.",AR,Arabic,2015.0,Fall,Fall2015,2015_2016,Coordinating Seminar
49,3 Credits,AS 0200,One American Studies Gateway course.,,,,"This course provides an introduction to the study of American culture. In familiarizing students with the variety of interdisciplinary ways to approach American Studies, students will examine the diverse experiences, intellectual traditions, and cultural touchstones that make American life a rich and fascinating object of study. Using a variety of sources, students will survey the following themes: race, ethnicity and immigration; expression and imagination; values and ethics; gender; institutional power and politics; and America as a global identity.",AS,American Studies,2015.0,Fall,Fall2015,2015_2016,Roots of American Culture
50,3 Credits,AS 0400,,,,,"This graduate seminar provides an introduction to the field of American Studies. Using key books and essays in American Studies, students will familiarize themselves with the diverse cultural and intellectual traditions that have created the American experience. Using interdisciplinary approaches, students will survey the following themes in American society and culture: race, ethnicity and immigration; expression and imagination; values and ethics; gender; institutional power and politics; and America and the world.",AS,American Studies,2015.0,Fall,Fall2015,2015_2016,Critical Issues/Amer Studies
51,3 Credits,AS 0410,,,,,"This course introduces students to the theories and concepts of the interrelated fields of Women's Studies and Gender Studies, Masculinity Studies, and Sexuality/Queer Studies. We will discuss the development of these fields, their application in various disciplines, and their importance in American Studies. The course uses theoretical readings, novels, and popular films to explore aspects of gender studies in everyday life.",AS,American Studies,2016.0,Spring,Spring2016,2015_2016,Introduction to Women's and Gender Studies
52,3 Credits,AS 0461,,,,,"This course employs the interdisciplinary method of learning in examining the American Civil War. While using standard historical texts to establish the facts regarding the War, the course focuses on the sometimes confusing and contradictory versions of the War depicted in literature, photography, feature films, documentary films, and other modes of expression.",AS,American Studies,2016.0,Summer,Summer2016,2015_2016,The American Civil War
53,3 Credits,AS 0479,,,,,"The course treats the history of Muslims in America from the early 19th century to the present. Topics include: the basic tenets of Islam; changing and diverse religious traditions and ideas; Islam among African-Americans; the role of women; concerns about prejudice and unfair treatment; and political views and practice before and after the September 11, 2001 terrorist attacks.",AS,American Studies,2016.0,Spring,Spring2016,2015_2016,Islam in America
54,3 Credits,AS 0483,,,,,"The Great Depression represents the catalytic agent in America's extraordinary transformation in the 1930s, a decade during which the changes in the economic and political sectors provided the matter for American cultural life. This course acquaints students with the complexities of this pivotal period in American life through feature films and documentaries, popular and serious fiction, the American theatre of the time, popular music, public and private art, and mass circulation and little magazines, while introducing them to an interdisciplinary methodology.",AS,American Studies,2015.0,Fall,Fall2015,2015_2016,America in the 1930s
55,3 Credits,AS 0488,,,,,"The frontier -- traditionally understood as the place where ""humanity"" comes into contact with its apparent absence in the shape of alien beings and landscapes -- has been the subject of some of the most lasting powerful stories in the formation of U.S. national identity. The purpose of this course is to investigate the ideological underpinnings of this myth and its consequences, as well as to explore alternative conceptulizations of the frontier, particularly as a ""rhizomatic"" space where cultures meet and grapple with one another. Materials for the course are drawn from literature, film, painting, photography, and popular culture.",AS,American Studies,2015.0,Fall,Fall2015,2015_2016,Frontier in American Culture
56,3 Credits,ASAH 0441,,,,,"Dr. Wayne Craven writes in American Art: History and Culture, ""As the new century opened America was a nation in transition, and ripe for many kinds of revolutions - in politics, social systems, and certainly in literature and painting. [These] social shifting values and forces were occurring within American society at large."" Focusing on the 50 years from WWI to Vietnam, this class examines the artistic debates and ideological struggles manifested by American art. During this time, there is a shifting barometric needle of stylistic expression. On one side, we see an entrenched, traditionalist school that retains the noble beaux arts criteria for realism and classical content. Artists to be studied in this school are: Henri, Sloan, Hopper, Marsh, Cadmus, Benton, Curry, Wood, Sheeler, Demuth and Wyeth. On the other side of the aesthetic spectrum, we encounter rebels leading the avant-garde. Sparked by the new ""isms"" of European modernism, artists to be discussed include: Duchamp, Stella, Dove, O'Keeffe, Gorky, Pollock, Rothko, Frankenthaler, De Kooning, Motherwell. The culmination and convergence of these parallel tracks arrive with the neo-realist but equally avant-gardist Pop art movement of the 1960s. Warhol, Rosenquist, Johns, and Wessleman use hard-edge realism to convey anti-establishment parodies and camp spin-offs of high culture. The period between 1917-1967 becomes, then, the pivotal shift when traditionalism is converted into a new cultural paradigm ending modernism as a distinct period.",ASAH,American Studies: Art History,2016.0,Summer,Summer2016,2015_2016,Fine Art vs. Anti-Art: 1917-1967
57,3 Credits,AY 0010,,,,WDIV World Diversity,"Who are we, where do we come? Why is life unfair, and why do intolerance, poverty and inequality persist? Anthropologists hold no monopoly on truth or explanation, but they do employ a wide range of methods to explore what it means to be human. In this introductory anthropology course we survey the four sub-fields that comprise this multi-disciplinary science: biological anthropology, archaeology, sociocultural anthropology, and linguistics. Over the course of the semester, we will explore what anthropology and its sub-fields contribute to our understanding of ourselves, our histories, and our world.",AY,Anthropology,2015.0,Fall,Fall2015,2015_2016,Introduction to Four-Field Anthropology
58,3 Credits,AY 0052,,,,,"This course examines the ways in which global political economic dynamics impact local cultures. Students will begin with classic texts in social theory, examine how this theory informs contemporary debates, and look to small-scale societies in the Global South for an intimate, ethnographic perspective of our global era.",AY,Anthropology,2015.0,Fall,Fall2015,2015_2016,Culture and Political Economy
59,3 Credits,AY 0110,,,,,"The study of natural selection, primate evolution, and living primate societies provides a baseline from which to study the evolution of the human species. The course also traces human cultural and social development from the foraging bands of the first humans to the civilizations that appeared at the dawn of written history. Students also examine physical variation among living populations. This course meets the core natural science requirement and not the social science requirement.",AY,Anthropology,2015.0,Fall,Fall2015,2015_2016,Biological Anthropology
60,3 Credits,AY 0111,,,,WDIV World Diversity,"Why is there such variety in the way people live, dress, speak, eat, love and fight? This course explores the shared patterns of thought, behavior, and feelings - that is, the cultures - of a number of peoples and presents explanations for the forms they take and the differences between them. The course helps students develop a new perspective on the values and institutions of Western culture.",AY,Anthropology,2015.0,Fall,Fall2015,2015_2016,Cultural Anthropology
61,3 Credits,AY 0115,,,,HSSS Health Studies: Social Science,"This seminar-style class explores biological anthropology to examine the dynamic relationship between health, biology, and culture. Across cultures, geography, and time, we uncover the underlying processes that inhibit or enhance human health. From the biology of stress to the eradication of tuberculosis and Ebola, we'll see biological anthropology's invaluable contributions to modern medicine, public health, and global health management. Students will learn theoretical and applied approaches to understand the evolution and ecology of disease; human development and metabolism; and sexuality and gender; as well as health policy and medical practice (in terms of cultural universals, differences, and disparities). This course meets the core natural science requirement and not the social science requirement.",AY,Anthropology,2015.0,Fall,Fall2015,2015_2016,Biomedical Anthropology
