,credits,catalog_id,prereqs,coreqs,fees,attributes,description,program_code,program_name,YEAR,SEMESTER,term,CatalogYear,Title
17,3 Credits,AC 0555,,,,,"This course covers internal audit from a broad perspective. Course topics cover three main areas, internal audit: (1) basics, (2) risks, and (3) metrics. During the course, students will develop critical thinking skills (particularly employing professional skepticism) and learn to effectively communicate their professional opinions.",AC,Accounting,2017.0,Spring,Spring2017,2016_2017,Issues in Internal Audit
18,3 Credits,AC 0560,,,,,"This course will expose students to the global profession of auditing, with a primary focus on public company auditors. Topics will vary any given semester, but may include the following: the different international organizations that set auditing standards and enforce auditing standards; the impact of culture on auditing standards and practices throughout the world; the impact of International Financial Reporting Standards on international and U.S. auditing rules; the evaluation of audit evidence; auditor independence; materiality; internal controls; computer assisted audit tools and techniques; fraud detection and forensic accounting. The course is taught seminar style, with students leading the discussions of cases and current articles. Assignments are designed to develop students' written and oral communication skills, analytical skills, and critical thinking skills.",AC,Accounting,2017.0,Spring,Spring2017,2016_2017,Audit Issues in a Global Environment
19,3 Credits,AC 0570,,,,,"This course investigates ethical problems in contemporary accounting practice. The goal is to increase students' ethical perception so they are better able to identify, consider, and ultimately act on the ethical issues they may face in their professional accounting career, regardless of specialty area (e.g., audit, tax, and corporate accounting). The course is taught seminar style, with students leading the discussions of cases and current articles. Assignments are designed to develop students' written and oral communication skills, analytical skills, and critical thinking skills.",AC,Accounting,2016.0,Fall,Fall2016,2016_2017,Issues in Accounting Ethics
20,3 Credits,AC 0580,,,,,"The course is designed to increase and extend the knowledge of the student in financial statement information and topics introduced in undergraduate courses in intermediate and advanced financial accounting through lecture, problem solving and case analysis. A critical examination of both objective and subjective aspects of financial reporting will be undertaken with both quantitative as well as qualitative assessments of financial information emphasized.",AC,Accounting,2017.0,Summer,Summer2017,2016_2017,Financial Statement Analysis
21,3 Credits,AC 0590,,,,,"This course is a designated research course. In it students will investigate, analyze, develop, and present recommendations for emerging issues, recent pronouncements of accounting rule-making bodies and/or unresolved controversies relating to contemporary financial reporting. In doing so, students will consider institutional, historical, and international perspectives. In their research, students are expected to use authoritative resources (e.g., FASB and/or IASB pronouncements). The course is taught seminar style, with students leading the discussions of cases and current articles. Assignments are designed to develop students' written and oral communication skills, analytical skills, and critical thinking skills.",AC,Accounting,2016.0,Fall,Fall2016,2016_2017,Research on Contemporary Issues in Accounting
22,3 Credits,AE 0262,One course in Philosophy or Religious Studies.,,,PJST Peace and Justice Studies,"This course surveys the philosophical grounding of the organizations in contemporary society, examining structured human groups from the household, through the village (or religious/ethnic association), to the nation-state to understand their moral undertakings in their environment; to consider how they implement and balance rights and duties, rules and compassion, autonomy and common purposes. This course gives special attention to structural injustice in the treatment of those marginalized by gender, race, or socioeconomic deficit, and includes an effort to determine where new understanding may yield suggestions for structural modification. Students are provided the opportunity to research and present projects on contemporary social problems that illustrate the themes of the course.",AE,Applied Ethics,2016.0,Fall,Fall2016,2016_2017,Ethics and the Community
23,3 Credits,AE 0265,One course in Philosophy or Religious Studies.,,,"EDCG Educational Studies Cognate, EDDV Educational Studies Diversity","This survey of the ethical issues that arise in the classroom, school, and school district also covers those issues, to a lesser extent, in the educational policies of the state and federal government. The course directly addresses issues of race, class, and gender in the educational system, addressing entitlement to education, access to education, discipline in the educational setting, multicultural issues in general, politics, accountability, assessment, and the ethics of respect as they pertain to teachers, students, and administrators.",AE,Applied Ethics,2016.0,Fall,Fall2016,2016_2017,Ethics in Education
24,3 Credits,AE 0276,One course in Philosophy or Religious Studies.,,,"HACA Humanitarian Action Minor Context Course, WDIV World Diversity","A survey of the ethical dimensions of contemporary business practice generally, with special emphasis on the ethical implications of global business enterprise. Topics include global employment practices, human and employee rights in a global economy, the implications of external debt for the economies of developing nations, the human costs and benefits of the changes in global agriculture and food provision generally, and the work of international agencies (the World Trade Organization, the International Monetary Fund, and the World Bank in particular) in guiding the economies of the world. A three-week unit will focus on the economic implications of natural and man made disasters and humanitarian crises.",AE,Applied Ethics,2016.0,Fall,Fall2016,2016_2017,Ethical Dimensions of Global Business Practices
25,3 Credits,AE 0281,One course in Philosophy or Religious Studies.,,,ENEC Digital Journalism Ethics Component,"This course examines the moral dilemmas of media management, political propaganda, campaign promo-tions, public relations, and corporate communication. Topics include advertising and marketing practices, especially political advocacy and messages targeted to various audiences; truth and loyalty in public relations practices; the philosophical and constitutional bases of freedom of the press; and problems of media bias, systematic and otherwise.",AE,Applied Ethics,2016.0,Fall,Fall2016,2016_2017,Ethics of Communications
26,3 Credits,AE 0284,One course in Philosophy or Religious Studies.,,,"EVHU Environmental Studies: Humanities, EVPE Environmental Studies Elective, PJST Peace and Justice Studies","Students examine the environmental problems that arise in our attempts to reconcile the demands of human fulfillment and economic activity, and the requirements of ecological balance. Issues include the diverse perspectives of conservation, preservation, and deep ecology. Student projects cover the wise use of resources; pollution of land, air, and water; conservation of species and open space; global climatic change; and the future stewardship of oceans, forests, and the atmosphere.",AE,Applied Ethics,2016.0,Fall,Fall2016,2016_2017,Environmental Ethics
27,3 Credits,AE 0285,One course in Philosophy or Religious Studies.,,,"HSTE Health Studies: Traditions, Delivery, and Ethics","This course considers the moral dilemmas of the healthcare setting. Topics include patients' rights (medical paternalism and patient autonomy, informed consent to therapy, and participation in research); dilemmas of reproduction (technological assistance, abortion, cloning); dilemmas of life and death (assisted suicide, euthanasia, technological interventions for the dying); allocation of healthcare resources; and the special dilemmas of healthcare professionals caught in binds between HMO contracts and professional obligations.",AE,Applied Ethics,2016.0,Fall,Fall2016,2016_2017,Ethics of Health Care
28,3 Credits,AE 0287,One course in Philosophy or Religious Studies.,,,,"This course systematically explores the ethical dimensions of situations and tasks common to engineering practice. Issues include professionalism, codes of ethics, consumer risk and safety, employee loyalty and whistle-blowing, research and ownership of information, and the engineer's responsibility to the natural environment.",AE,Applied Ethics,2017.0,Spring,Spring2017,2016_2017,Engineering Ethics
29,3 Credits,AE 0291,One course in Philosophy or Religious Studies.,,,,"This course investigates ethical problems in business practice. Topics include the foundation of the free-market system, personal morality in profit-oriented enterprises; codes of ethics, obligations to employees and other stakeholders; truth in advertising, whistle-blowing, and company loyalty; self and government regulation; the logic and future of capitalism; and the changing responsibilities of the manager in a rapidly globalizing business environment.",AE,Applied Ethics,2017.0,Spring,Spring2017,2016_2017,Business Ethics
30,3 Credits,AE 0293,One course in Philosophy or Religious Studies.,,,PJST Peace and Justice Studies,"This is a survey of issues relating to war and international conflict. Topics include Just War theory, human rights issues, the impact of war on women, the role of the United Nations Security Council, and the history of global attempts to proscribe and prevent aggression. The course also looks at related issues that have emerged in recent years, such as humanitarian intervention and economic sanctions.",AE,Applied Ethics,2017.0,Summer,Summer2017,2016_2017,Ethics of War and Peace
31,3 Credits,AE 0391,Two courses in Philosophy or Religious Studies.,,,,"This seminar investigates ethical dilemmas of business management, primarily as encountered in real cases. Themes vary from year to year. Format: guest presentations by members of the business community, followed by discussion.",AE,Applied Ethics,2017.0,Spring,Spring2017,2016_2017,"Seminar in Business Law, Regulation, and Ethics"
32,3 Credits,AH 0010,,,,"GDAH Graphic Design: Art History, VPCH Visual and Performing Arts Core: History Course","From the mysterious depths of Paleolithic cave painting to the soaring heights of Gothic cathedral vaulting, this course surveys the early history of Western art. The course begin with the origins of art-making in prehistoric, Mesopotamian, Egyptian, Greek, and Roman cultures before viewing the transformations of these ancient arts traditions in early Christian and medieval societies. The course offers students a working vocabulary with which to compose visual analyses of works of art and evaluate them in a social and historical context. One class takes place at the Metropolitan Museum of Art in New York City.",AH,Art History,2016.0,Fall,Fall2016,2016_2017,Origins and Transformations in Western Art
33,3 Credits,AH 0011,,,,"GDAH Graphic Design: Art History, VPCH Visual and Performing Arts Core: History Course","This course surveys the history of painting, sculpture, and architecture from the 15th century to today, in Europe and the United States, including a review of classical and medieval antecedents. A central focus of this class is the study of the original contexts of works of art; most of the art we will study this semester was not made to be looked at in a museum or gallery. By seeking the original context of a work of art, one can begin to understand why, how, by, and for whom art was created and how it fits into the larger picture of human creativity. Students will visit the Metropolitan Museum of Art in New York City.",AH,Art History,2017.0,Spring,Spring2017,2016_2017,Visual Culture Since 1400: Expression and Experimentation
34,3 Credits,AH 0013,,,,"BSCC Black Studies Component Course, GDAH Graphic Design: Art History, LCEL LACS Minor: Elective, VPCH Visual and Performing Arts Core: History Course, WDIV World Diversity","This course is an introduction to art and architecture of Africa, the Caribbean islands, and Central America, South America and North America. Major works of art and architecture will be examined to understand the respective cultures and traditions of these regions. Cultures designated by their geographical locations will provide a frame of study for African visual culture. Art of Caribbean islands and the influence of the African diaspora will be explored. The Americas will be represented by Pre-Columbian and Native American visual arts. Students will be introduced to different art historical approaches and vocabulary used to study art from each of these areas.",AH,Art History,2016.0,Fall,Fall2016,2016_2017,"Art of Africa, the Caribbean, and the Americas"
35,3 Credits,AH 0014,,,,"GDAH Graphic Design: Art History, VPCH Visual and Performing Arts Core: History Course, WDIV World Diversity","This course introduces major monuments of the arts of Asia, including architecture, painting, sculpture, ceramics, and prints. Following a roughly chronological progression spanning over three millennia, the course emphasizes contact between Asian civilizations, including South, Southeast, Central, and East Asia, as well as artistic exchanges between Asia and the West. Foci include: ancient funerary arts, the development of Buddhist art throughout the continent, and secular arts associated with imperial courts and the rise of cities. The course highlights collections of Asian art at the Bellarmine Museum, Yale University, and in New York City.",AH,Art History,2017.0,Spring,Spring2017,2016_2017,Art of Asia
36,3 Credits,AH 0102,,,,"GDAH Graphic Design: Art History, VPCH Visual and Performing Arts Core: History Course, WDIV World Diversity","This course surveys the art and architectural history of China, Korea, and Japan, emphasizing cultural and artistic contact between these cultures. Periods of focus include the Shang, Han, Tang, Song, and Qing dynasties in China; the Jōmon, Nara, Heian, Kamakura, Edo and Meiji periods in Japan; and the Three Kingdoms period, Goryeo, and Joseon dynasties in Korea. The course highlights collections of Asian art at Yale University and in New York City, incorporating special exhibitions of East Asian art relevant to the course.",AH,Art History,2016.0,Fall,Fall2016,2016_2017,Art of East Asia
37,3 Credits,AH 0109,,,,"GDAH Graphic Design: Art History, JST Judaic Studies Minor, VPCH Visual and Performing Arts Core: History Course","The earliest known written description of the Jewish people is a visual record on an ancient victory monument. Dated from the 13th century B.C.E., a carved stele dedicated to Pharaoh Merneptah presents a hieroglyphic relief inauspiciously boasting: ""Israel is laid waste; his seed is no more."" Tracing 4,000 years of Jewish art, culture, and ritual, this course is a panoramic overview of visual expression of a people wandering through six continents, innumerable styles and artistic identities. How did the ineffable theophany at Sinai spark the complexity of Judaism's struggle with Greco-Roman pagan idolatry versus attempts at capturing the ""spirit of God with wisdom and discernment and the knowledge of workmanship to design designs"" [Exodus 35] transforming spirituality into a living art?",AH,Art History,2017.0,Spring,Spring2017,2016_2017,Jewish Art: Moses to Modernity
38,3 Credits,AH 0121,,,,"CAOT Catholic Studies: Non-Religious Studies, GDAH Graphic Design: Art History, VPCH Visual and Performing Arts Core: History Course","This course traces Celtic art from its sources and history on the European continent (1200 B.C.E. to the first century C.E.) to its migration to the British Isles and its subsequent transformation as it interacts with native cultures there, particularly the Irish culture. It examines native Irish art from the stone circles and passage graves of 3000-2000 B.C.E. to the introduction of the Celtic style and the golden age of Ireland's conversion to Christianity. Rich new art forms such as illustrated bibles, jeweled chalices and reliquaries, high crosses, and the introduction of monastic and ecclesiastical architecture will be discussed. The course also considers the medieval revivals in the 19th and 20th centuries and includes a first-hand examination of Fairfield University's facsimile of the Book of Kells.",AH,Art History,2017.0,Spring,Spring2017,2016_2017,Celtic and Early Irish Art
39,3 Credits,AH 0152,,,,"GDAH Graphic Design: Art History, VPCH Visual and Performing Arts Core: History Course","In this course we explore a diverse range of art works and issues, which were central to the practice of Modern Art in Europe and the United States from the mid-nineteenth century to the mid-twentieth century. This course focuses on the artists who challenged the institution of Western art, re-interpreted its norms, and used Modernism as both subject and context. Class revolutions, industrialization, urbanization, imperialism, and capitalism are addressed through a close study of various artists and artworks. The enormous impact of European Modern Art on the rest of the world is considered with the examination of orientalism, primitivism, and ""colonial"" modernisms. A variety of sources such as novels, philosophical and political texts, films, newspapers, and music are used to inform our understanding of these -isms and Modern Art.",AH,Art History,2017.0,Spring,Spring2017,2016_2017,Modern Art
40,3 Credits,AH 0164,,,,"ASGW American Studies: Gateway, ASVP American Studies: Visual and Performing Arts, GDAH Graphic Design: Art History, VPCH Visual and Performing Arts Core: History Course","In tracing the themes and artistic statements of American artists, the course takes special notice of unifying national myths such as theFounding Fathers, Manifest Destiny, America as the new Eden, the frontier from the Rockies to the lunar surface, heroes from Davy Crockett to Superman, and America as utopia. Through the masterpieces of Church, Cole, Homer, Eakins, Sloan, Hopper, Pollock, Rothko, Wyeth, Warhol, and the Downtown art scene, the course answers the question: What is uniquely American about American art?",AH,Art History,2017.0,Summer,Summer2017,2016_2017,American Art and Media Culture
41,3 Credits,AH 0191,,,,"GDAH Graphic Design: Art History, GMEL German Major or Minor Course, GMEN German Course Taught in English, ISIC Italian Studies: Italy Component, JST Judaic Studies Minor, VPCH Visual and Performing Arts Core: History Course","This interdisciplinary approach to the visual Zeitgeist of these major political/national crises in Europe between 1917 and 1945 surveys the visual rhetoric of Nazi Germany, Fascist Italy, and Bolshevik Russia through the widest possible definition of the visual arts. The course includes the traditional fine arts of painting, sculpture, and architecture as well as the mass cultural outlets of film, radio, propaganda posters, and the staging of public events. The class eliminates the distinctions between high and utilitarian mediums of expression; all means of persuasion are fair game. This course allows students to better understand the complexities of these political/nationalist issues; the ""window"" is the lens provided by the visual arts and mass media. In doing so, students recognize how the symbolic languages of mythology were married to political ideologies and shaped public opinion from the national consciousness.",AH,Art History,2016.0,Fall,Fall2016,2016_2017,"Art and Mythologies of Nazi Germany, Fascist Italy, Bolshevik Russia: Comparative Systems & Outcomes"
42,3 Credits,AH 0193,,,,VPCH Visual and Performing Arts Core: History Course,"This course explores the interactive role of the curator and the museum and gallery visitor in the dynamic cultural spaces of museums, galleries, and public historic spaces, parks, monuments, etc. We explore the responsibilities, ethics, and educational goals for the professional staff of not-for-profit museums in terms of serving the common good of the general public. If museums are ""temples of culture,"" then we need to understand the ways these public ""faiths"" act while open and engaging for all. In contrast, we highlight the similarities and differences when artworks or collectible objects are placed into a commercialized, for profit-gallery/auction house context. This is an introductory course, welcoming students ready to experience and learn about the rich spectrum of museums, galleries, auction houses, and cultural institutions within the Tri-State area. Field trips include visits with top professionals who share their expertise and experiences.",AH,Art History,2017.0,Summer,Summer2017,2016_2017,"Inside Museums and Galleries: Taste, Place, Public Space"
43,3 Credits,AH 0222,One 100-level or lower art history course or permission of the instructor.,,,"CAOT Catholic Studies: Non-Religious Studies, VPCH Visual and Performing Arts Core: History Course","This course focuses on the art of the medieval Byzantine Empire, a period of strong imperial patronage that saw the rise of Christianity and its associated new forms of art and architecture. The course is organized chronologically, from Byzantine art's late antique Pagan Roman, Early Christian, and Jewish sources to its relationship to Islamic art and its later impact on the development of the arts of Western Europe and Russia. The major themes of the course are: the relationship of belief and ritual to religious imagery and architecture; cultural exchange and influence on art forms and iconography; and the impact of imperial patronage on art and architecture. These themes will also be related to the art of other places and times, including our own. We will explore continuity and change in the content and style of Byzantine Art over time, while constantly being aware of the relationship between art and society.",AH,Art History,2016.0,Fall,Fall2016,2016_2017,Byzantine Art
44,3 Credits,AH 0330,,,,VPCH Visual and Performing Arts Core: History Course,"Required of all art history majors in the spring semester of the senior year, this seminar offers rotating topics that reflect the areas of expertise and research among Fairfield's art history faculty members and culminates in an in-depth research project.",AH,Art History,2017.0,Spring,Spring2017,2016_2017,Senior Capstone Seminar
45,3 Credits,AH 0330A,,,,VPCH Visual and Performing Arts Core: History Course,See ,AH,Art History,2017.0,Spring,Spring2017,2016_2017,Senior Capstone Seminar
46,3 Credits,AR 0110,,,,,"The first course, the first of a two-semester sequence, teaches the essentials of phonology, script, structure, and usage, allowing students to acquire the skills of listening, speaking, reading, and writing in the standard means of communicating in the Arab world. Teaching is proficiency-based, implying that all activities within the courses are aimed at placing student learners in the context of the native-speaking environment.",AR,Arabic,2016.0,Fall,Fall2016,2016_2017,Elementary Modern Standard Arabic I
47,3 Credits,AR 0111,AR 0110.,,,,A continuation of ,AR,Arabic,2017.0,Spring,Spring2017,2016_2017,Elementary Modern Standard Arabic II
48,3 Credits,AR 0210,AR 0111.,,,,"This course, the first in a two-semester sequence, continues to build upon the skills acquired in the first-year course. Emphasis will be placed upon improving grammar, listening comprehension, and speaking and reading skills. Students will gain confidence in conversing with native speakers on a variety of topics, will be able to write more complex texts on everyday themes, and will acquire the skills to read uncomplicated authentic texts, such as newspaper articles on familiar topics.",AR,Arabic,2016.0,Fall,Fall2016,2016_2017,Intermediate Modern Standard Arabic I
49,3 Credits,AR 0211,AR 0210.,,,,A continuation of ,AR,Arabic,2017.0,Spring,Spring2017,2016_2017,Intermediate Modern Standard Arabic II
50,3 Credits,AS 0200,One American Studies Gateway course.,,,,"This course provides an introduction to the study of American culture. In familiarizing students with the variety of interdisciplinary ways to approach American Studies, students will examine the diverse experiences, intellectual traditions, and cultural touchstones that make American life a rich and fascinating object of study. Using a variety of sources, students will survey the following themes: race, ethnicity and immigration; expression and imagination; values and ethics; gender; institutional power and politics; and America as a global identity.",AS,American Studies,2016.0,Fall,Fall2016,2016_2017,Roots of American Culture
51,3 Credits,AS 0400,,,,,"This graduate seminar provides an introduction to the field of American Studies. Using key books and essays in American Studies, students will familiarize themselves with the diverse cultural and intellectual traditions that have created the American experience. Using interdisciplinary approaches, students will survey the following themes in American society and culture: race, ethnicity and immigration; expression and imagination; values and ethics; gender; institutional power and politics; and America and the world.",AS,American Studies,2016.0,Fall,Fall2016,2016_2017,Critical Issues/Amer Studies
52,3 Credits,AS 0484,,,,,"The course examines family as an evolving American political and cultural ideal and investigates changes and continuities in American family politics through the twentieth century. It explores the causes, implications, and contexts for the rise of numerous political debates that have centered on the American family such as welfare and anti-poverty policies, LGBT rights, contraception and abortion, and immigration. It also familiarizes students with multiple forms of social scientific writing, methods of research design and original data gathering.",AS,American Studies,2017.0,Spring,Spring2017,2016_2017,Battle Over Family Values in American Politics
53,3 Credits,ASAH 0441,,,,,"Dr. Wayne Craven writes in American Art: History and Culture, ""As the new century opened America was a nation in transition, and ripe for many kinds of revolutions - in politics, social systems, and certainly in literature and painting. [These] social shifting values and forces were occurring within American society at large."" Focusing on the 50 years from WWI to Vietnam, this class examines the artistic debates and ideological struggles manifested by American art. During this time, there is a shifting barometric needle of stylistic expression. On one side, we see an entrenched, traditionalist school that retains the noble beaux arts criteria for realism and classical content. Artists to be studied in this school are: Henri, Sloan, Hopper, Marsh, Cadmus, Benton, Curry, Wood, Sheeler, Demuth and Wyeth. On the other side of the aesthetic spectrum, we encounter rebels leading the avant-garde. Sparked by the new ""isms"" of European modernism, artists to be discussed include: Duchamp, Stella, Dove, O'Keeffe, Gorky, Pollock, Rothko, Frankenthaler, De Kooning, Motherwell. The culmination and convergence of these parallel tracks arrive with the neo-realist but equally avant-gardist Pop art movement of the 1960s. Warhol, Rosenquist, Johns, and Wessleman use hard-edge realism to convey anti-establishment parodies and camp spin-offs of high culture. The period between 1917-1967 becomes, then, the pivotal shift when traditionalism is converted into a new cultural paradigm ending modernism as a distinct period.",ASAH,American Studies: Art History,2017.0,Summer,Summer2017,2016_2017,Fine Art vs. Anti-Art: 1917 to 1967
54,3 Credits,ASEN 0447,,,,,"A survey of major developments in American poetry from the mid-19th century to the late years of the 20th century, this course emphasizes the poems of Walt Whitman, Emily Dickinson, Robert Frost, T. S. Eliot, and Langston Hughes. The course also offers an introduction to the works of Ezra Pound, E. E. Cummings, Amy Lowell, Marianne Moore, and William Carlos Williams, as well as to Beat poetry (Ginsberg, Ferlinghetti), and to the confessional movement that dominated the second half of the 20th century (Robert Lowell, Anne Sexton, Sylvia Plath). The focus is on the shifting patterns of poetic style and on the evolution of American sensibility and experience as expressed in the poems under discussion.",ASEN,American Studies: English,2017.0,Spring,Spring2017,2016_2017,Poetry in America
55,3 Credits,ASHI 0415,,,,,"At the intersection of race, gender, and class, African-American women often challenged the codification of blackness and femaleness as well as a limited conception of class consciousness. From the diaspora to the present, they created forms of resistance, devised survival strategies, and transmitted cultural knowledge while defying racial/gender stereotypes. The multiple roles assumed by African-American women during their struggle from slaves to citizens in the United States represent a complex study of the relational nature of difference and identity. This course focuses on African-American women as subjects and agents of pivotal importance within the family, community, and labor force.",ASHI,American Studies: History,2017.0,Spring,Spring2017,2016_2017,Inventing Themselves: African-American Women in U.S. History
56,3 Credits,ASHI 0437,,,,,"This intensive reading and writing seminar examines in some depth individuals and social movements in U.S. history that acted out of religious and philosophical traditions. Topics covered include biographies, auto-biographies, writings, and diaries of such figures as Mary Dyer, Roger Williams, John Dickinson, John Ross, Emma Willard, Lydia Marie Child, W.E.B. Dubois, Randolph Bourne, Walter Rauschenbusch, Dorothy Day, Abraham Heschel, and Robert Coles. The course looks at the prophetic roots of religious liberty, women's suffrage, abolitionism, the labor movement, populism, Civil Rights, and the '60s. Five three-page critical book reviews and one longer project are required.",ASHI,American Studies: History,2017.0,Summer,Summer2017,2016_2017,American Prophetic Tradition
57,3 Credits,ASMU 0402,,,,,"This course surveys the musical and social trends that resulted in the emergence of rock and roll as an important musical and cultural force in America. The course traces the roots of rock, blues, and country styles and, showing how they merged with popular music, studies periods from the 1950s to the present, along with Elvis Presley, Chuck Berry, Little Richard, the Beatles, the British invasion, folk music, Bob Dylan, jazz and art rock, Jimi Hendrix, the west coast movement, and the music industry. The social, political, and cultural aspects of rock as they have affected American life provide an American studies emphasis.",ASMU,American Studies: Music,2016.0,Fall,Fall2016,2016_2017,History of Rock
